"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 02 10:36:47 UTC 2026","Thu Apr 02 10:36:47 UTC 2026","113","WebCatalogTest","FireFox","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA03_testCheckEmptyHistory","SA03_testCheckEmptyHistory",""
"passed","Thu Apr 02 10:32:39 UTC 2026","Thu Apr 02 10:32:45 UTC 2026","5733","WebCatalogTest","Edge","testcases.SignUpTest","testcases.SignUpTest","SU01_testSignUpWithValidEmail","SU01_testSignUpWithValidEmail",""
"broken","Thu Apr 02 10:39:48 UTC 2026","Thu Apr 02 10:40:56 UTC 2026","67449","WebCatalogTest","Edge","testcases.E2ETest","testcases.E2ETest","E2E_Test","E2E_Test",""
"broken","Thu Apr 02 10:40:32 UTC 2026","Thu Apr 02 10:41:34 UTC 2026","62301","WebCatalogTest","Chrome","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA02_testSubmitMultipleApp","SA02_testSubmitMultipleApp",""
"passed","Thu Apr 02 10:33:17 UTC 2026","Thu Apr 02 10:33:23 UTC 2026","5572","WebCatalogTest","FireFox","testcases.SignUpTest","testcases.SignUpTest","SU02_testSignUpWithRegisteredEmail","SU02_testSignUpWithRegisteredEmail",""
"broken","Thu Apr 02 10:38:17 UTC 2026","Thu Apr 02 10:39:18 UTC 2026","60194","WebCatalogTest","Chrome","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS05_testDeleteAccount","AS05_testDeleteAccount",""
"passed","Thu Apr 02 10:32:47 UTC 2026","Thu Apr 02 10:32:54 UTC 2026","7681","WebCatalogTest","Edge","testcases.SignUpTest","testcases.SignUpTest","SU02_testSignUpWithRegisteredEmail","SU02_testSignUpWithRegisteredEmail",""
"passed","Thu Apr 02 10:41:40 UTC 2026","Thu Apr 02 10:42:42 UTC 2026","62182","WebCatalogTest","Chrome","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA03_testCheckEmptyHistory","SA03_testCheckEmptyHistory",""
"skipped","Thu Apr 02 10:39:47 UTC 2026","Thu Apr 02 10:39:47 UTC 2026","130","WebCatalogTest","Edge","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA04_testSubmitAppWithInValidUrl","SA04_testSubmitAppWithInValidUrl",""
"broken","Thu Apr 02 10:35:04 UTC 2026","Thu Apr 02 10:36:04 UTC 2026","60092","WebCatalogTest","Edge","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS03_testUpdateAccountEmail","AS03_testUpdateAccountEmail",""
"skipped","Thu Apr 02 10:39:47 UTC 2026","Thu Apr 02 10:39:47 UTC 2026","130","WebCatalogTest","Edge","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA03_testCheckEmptyHistory","SA03_testCheckEmptyHistory",""
